Step 0. Reward: 0.000658, success: 0.0, d_pos: 4.326103, d_rot: 3.000323. Best future reward: 0.147955. Took 691.355415 seconds!
Step 1. Reward: 0.000648, success: 0.0, d_pos: 4.376385, d_rot: 2.965249. Best future reward: 0.271032. Took 656.622195 seconds!
Step 2. Reward: 0.000735, success: 0.0, d_pos: 4.320128, d_rot: 2.896042. Best future reward: 0.585708. Took 630.813182 seconds!
Step 3. Reward: 0.000849, success: 0.0, d_pos: 4.289353, d_rot: 2.781599. Best future reward: 0.718740. Took 609.728122 seconds!
Step 4. Reward: 0.000868, success: 0.0, d_pos: 4.352249, d_rot: 2.696852. Best future reward: 1.232361. Took 587.702718 seconds!
Step 5. Reward: 0.001014, success: 0.0, d_pos: 4.308357, d_rot: 2.585240. Best future reward: 1.554011. Took 564.813617 seconds!
Step 6. Reward: 0.001832, success: 0.0, d_pos: 3.775636, d_rot: 2.526548. Best future reward: 2.278952. Took 538.883816 seconds!
Step 7. Reward: 0.002750, success: 0.0, d_pos: 3.528078, d_rot: 2.368146. Best future reward: 3.220937. Took 515.369424 seconds!
Step 8. Reward: 0.003112, success: 0.0, d_pos: 3.692776, d_rot: 2.079681. Best future reward: 4.181159. Took 492.127980 seconds!
Step 9. Reward: 0.003751, success: 0.0, d_pos: 3.859721, d_rot: 1.726022. Best future reward: 6.226379. Took 468.468127 seconds!
Step 10. Reward: 0.004422, success: 0.0, d_pos: 3.954441, d_rot: 1.466639. Best future reward: 7.990990. Took 445.572553 seconds!
Step 11. Reward: 0.004884, success: 0.0, d_pos: 4.044061, d_rot: 1.277782. Best future reward: 7.478831. Took 415.843351 seconds!
Step 12. Reward: 0.006246, success: 0.0, d_pos: 3.881297, d_rot: 1.194463. Best future reward: 6.710421. Took 393.850561 seconds!
Step 13. Reward: 0.011792, success: 0.0, d_pos: 3.396193, d_rot: 1.044112. Best future reward: 9.908213. Took 378.740277 seconds!
Step 14. Reward: 0.019708, success: 0.0, d_pos: 2.892018, d_rot: 1.034699. Best future reward: 11.872055. Took 358.146720 seconds!
Step 15. Reward: 0.031983, success: 0.0, d_pos: 2.448419, d_rot: 0.994134. Best future reward: 13.859594. Took 338.803382 seconds!
Step 16. Reward: 0.054915, success: 0.0, d_pos: 2.028894, d_rot: 0.873073. Best future reward: 16.282892. Took 315.506848 seconds!
Step 17. Reward: 0.080821, success: 0.0, d_pos: 1.682088, d_rot: 0.833425. Best future reward: 20.138698. Took 303.642038 seconds!
Step 18. Reward: 0.092076, success: 0.0, d_pos: 1.647441, d_rot: 0.737698. Best future reward: 21.902804. Took 286.407052 seconds!
Step 19. Reward: 0.157127, success: 0.0, d_pos: 1.495973, d_rot: 0.354729. Best future reward: 24.505090. Took 265.790656 seconds!
Step 20. Reward: 0.255046, success: 0.0, d_pos: 1.253718, d_rot: 0.112595. Best future reward: 23.569110. Took 242.924546 seconds!
Step 21. Reward: 0.362806, success: 0.0, d_pos: 0.925308, d_rot: 0.088578. Best future reward: 24.501647. Took 215.400445 seconds!
Step 22. Reward: 0.603070, success: 0.0, d_pos: 0.438117, d_rot: 0.067605. Best future reward: 28.821054. Took 195.640715 seconds!
Step 23. Reward: 0.775462, success: 1.0, d_pos: 0.178136, d_rot: 0.076160. Best future reward: 27.229892. Took 174.959981 seconds!
Step 24. Reward: 0.770833, success: 1.0, d_pos: 0.182920, d_rot: 0.077364. Best future reward: 27.555271. Took 154.752593 seconds!
Step 25. Reward: 0.765864, success: 1.0, d_pos: 0.186059, d_rot: 0.080692. Best future reward: 29.307116. Took 134.619400 seconds!
Step 26. Reward: 0.803560, success: 1.0, d_pos: 0.144940, d_rot: 0.073763. Best future reward: 28.366665. Took 134.620830 seconds!
Step 27. Reward: 0.828299, success: 1.0, d_pos: 0.163793, d_rot: 0.024588. Best future reward: 27.096974. Took 136.170610 seconds!
Step 28. Reward: 0.900195, success: 1.0, d_pos: 0.076864, d_rot: 0.028280. Best future reward: 26.216369. Took 134.624115 seconds!
Step 29. Reward: 0.773588, success: 1.0, d_pos: 0.170799, d_rot: 0.085916. Best future reward: 27.028842. Took 134.189959 seconds!
Step 30. Reward: 0.830237, success: 1.0, d_pos: 0.122367, d_rot: 0.063678. Best future reward: 31.048171. Took 134.996438 seconds!
Step 31. Reward: 0.896267, success: 1.0, d_pos: 0.063075, d_rot: 0.046442. Best future reward: 28.775455. Took 135.135421 seconds!
Step 32. Reward: 0.845671, success: 1.0, d_pos: 0.115299, d_rot: 0.052326. Best future reward: 27.749587. Took 134.074433 seconds!
Step 33. Reward: 0.856438, success: 1.0, d_pos: 0.106775, d_rot: 0.048198. Best future reward: 28.406292. Took 134.293462 seconds!
Step 34. Reward: 0.770748, success: 1.0, d_pos: 0.175154, d_rot: 0.085240. Best future reward: 29.697275. Took 133.900322 seconds!
Step 35. Reward: 0.834596, success: 1.0, d_pos: 0.116991, d_rot: 0.063816. Best future reward: 30.690988. Took 134.093316 seconds!
Step 36. Reward: 0.877285, success: 1.0, d_pos: 0.060010, d_rot: 0.070914. Best future reward: 29.212148. Took 134.540684 seconds!
Step 37. Reward: 0.861738, success: 1.0, d_pos: 0.069405, d_rot: 0.079400. Best future reward: 28.657665. Took 134.500326 seconds!
Step 38. Reward: 0.886325, success: 1.0, d_pos: 0.056603, d_rot: 0.064068. Best future reward: 29.299872. Took 134.805250 seconds!
Step 39. Reward: 0.828466, success: 1.0, d_pos: 0.109135, d_rot: 0.079045. Best future reward: 29.559503. Took 134.443712 seconds!
Step 40. Reward: 0.839200, success: 1.0, d_pos: 0.128526, d_rot: 0.046780. Best future reward: 30.464090. Took 133.616341 seconds!
Step 41. Reward: 0.893164, success: 1.0, d_pos: 0.054598, d_rot: 0.058388. Best future reward: 29.980834. Took 134.654722 seconds!
Step 42. Reward: 0.851250, success: 1.0, d_pos: 0.092026, d_rot: 0.069023. Best future reward: 31.204825. Took 134.955117 seconds!
Step 43. Reward: 0.871577, success: 1.0, d_pos: 0.080023, d_rot: 0.057427. Best future reward: 29.719524. Took 135.471420 seconds!
Step 44. Reward: 0.804080, success: 1.0, d_pos: 0.175881, d_rot: 0.042176. Best future reward: 29.121173. Took 133.791455 seconds!
Step 45. Reward: 0.789261, success: 1.0, d_pos: 0.187142, d_rot: 0.049516. Best future reward: 29.361630. Took 133.436954 seconds!
Step 46. Reward: 0.805888, success: 1.0, d_pos: 0.135346, d_rot: 0.080465. Best future reward: 29.063707. Took 133.785526 seconds!
Step 47. Reward: 0.825224, success: 1.0, d_pos: 0.126202, d_rot: 0.065898. Best future reward: 28.947911. Took 134.361368 seconds!
Step 48. Reward: 0.835901, success: 1.0, d_pos: 0.169211, d_rot: 0.010033. Best future reward: 29.402997. Took 134.842667 seconds!
Step 49. Reward: 0.795286, success: 1.0, d_pos: 0.163300, d_rot: 0.065754. Best future reward: 30.021520. Took 134.412897 seconds!
