Step 0. Reward: 4.739831, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 410.419678. Return so far: 4.739831. Done: 0. Took 306.145655 seconds!
Step 1. Reward: 4.792567, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 427.970017. Return so far: 9.532398. Done: 0. Took 267.466130 seconds!
Step 2. Reward: 4.799035, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 435.473794. Return so far: 14.331433. Done: 0. Took 268.179442 seconds!
Step 3. Reward: 4.833349, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 443.491026. Return so far: 19.164782. Done: 0. Took 268.233263 seconds!
Step 4. Reward: 4.822031, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 451.204110. Return so far: 23.986813. Done: 0. Took 269.369001 seconds!
Step 5. Reward: 4.777908, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 461.605928. Return so far: 28.764721. Done: 0. Took 269.649938 seconds!
Step 6. Reward: 4.854382, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 469.194217. Return so far: 33.619103. Done: 0. Took 270.013538 seconds!
Step 7. Reward: 4.797430, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 478.317652. Return so far: 38.416533. Done: 0. Took 269.747864 seconds!
Step 8. Reward: 4.807026, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 483.447100. Return so far: 43.223559. Done: 0. Took 270.478865 seconds!
Step 9. Reward: 4.864925, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 489.022492. Return so far: 48.088484. Done: 0. Took 274.409299 seconds!
Step 10. Reward: 4.836987, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 496.244772. Return so far: 52.925471. Done: 0. Took 269.744975 seconds!
Step 11. Reward: 4.810805, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 503.859580. Return so far: 57.736276. Done: 0. Took 270.661545 seconds!
Step 12. Reward: 4.865483, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 511.682416. Return so far: 62.601758. Done: 0. Took 272.383148 seconds!
Step 13. Reward: 5.537481, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 516.676683. Return so far: 68.139239. Done: 0. Took 273.063605 seconds!
Step 14. Reward: 6.129023, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 525.615060. Return so far: 74.268262. Done: 0. Took 270.560434 seconds!
Step 15. Reward: 6.435231, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 531.267835. Return so far: 80.703493. Done: 0. Took 271.323042 seconds!
Step 16. Reward: 6.521270, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 535.901617. Return so far: 87.224763. Done: 0. Took 269.018103 seconds!
Step 17. Reward: 6.583915, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 541.510393. Return so far: 93.808678. Done: 0. Took 265.829402 seconds!
Step 18. Reward: 6.566726, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 547.523712. Return so far: 100.375404. Done: 0. Took 265.774488 seconds!
Step 19. Reward: 6.532290, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 554.884951. Return so far: 106.907694. Done: 0. Took 265.210592 seconds!
